method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8823,8,SCORED,0.025348979999736877,,
original_hierarchy,C-8823,9,SCORED,0.1098185495255568,,
original_hierarchy,C-8823,10,SCORED,0.0002463308776616364,,
original_hierarchy,C-8823,11,SCORED,0.07019262761518691,,
original_hierarchy,C-8823,12,SCORED,0.010850045035994939,,
original_hierarchy,C-8823,13,SCORED,0.11425416350936739,,
original_hierarchy,C-8823,14,SCORED,0.011333939670578295,,
original_hierarchy,C-8823,15,SCORED,0.024708378442245632,,
original_hierarchy,C-8823,16,SCORED,0.05224451341042645,,
original_hierarchy,C-8823,17,SCORED,0.06785642043610866,,
original_hierarchy,C-8823,18,SCORED,0.1232234323179014,,
original_hierarchy,C-8823,19,SCORED,0.007842518149294521,,
original_hierarchy,C-8823,20,SCORED,0.0031208775180484177,,
original_hierarchy,C-8823,21,SCORED,0.012352134350401806,,
original_hierarchy,C-8823,22,SCORED,0.02433523287730259,,
original_hierarchy,C-8823,23,SCORED,6.821643331811431e-05,,
original_hierarchy,C-8823,24,SCORED,0.003691261719387634,,
original_hierarchy,C-8823,25,SCORED,0.00046025720582922036,,
original_hierarchy,C-8823,26,SCORED,0.148012483347179,,
original_hierarchy,C-8823,27,SCORED,0.0007354757852956321,,
original_hierarchy,C-8823,28,SCORED,0.016163135223900407,,
original_hierarchy,C-8823,29,SCORED,0.005326737615806557,,
original_hierarchy,C-8823,30,SCORED,0.0026454083131971506,,
original_hierarchy,C-8823,31,SCORED,0.0020406080581926236,,
original_hierarchy,C-8823,32,SCORED,0.017807077748973648,,
original_hierarchy,C-8823,33,SCORED,0.006208822233320784,,
original_hierarchy,C-8823,34,SCORED,0.0008526864617350314,,
original_hierarchy,C-8823,35,SCORED,0.0009280235825384828,,
original_hierarchy,C-8823,36,SCORED,0.008760094703323618,,
original_hierarchy,C-8823,37,SCORED,4.2517726494766634e-05,,
original_hierarchy,C-8823,38,SCORED,0.00642600886909472,,
original_hierarchy,C-8823,39,SCORED,0.01311322076515152,,
original_hierarchy,C-8823,40,SCORED,0.008714198220479228,,
original_hierarchy,C-8823,41,SCORED,0.00048709727031053755,,
original_hierarchy,C-8823,42,SCORED,0.00017554057229298304,,
original_hierarchy,C-8823,43,SCORED,8.89537384588736e-05,,
original_hierarchy,C-8823,44,SCORED,0.04541763093042243,,
original_hierarchy,C-8823,45,SCORED,0.03361501558931734,,
original_hierarchy,C-8823,46,SCORED,0.0013244798701092068,,
original_hierarchy,C-8823,47,SCORED,0.00023601076998556146,,
original_hierarchy,C-8823,48,SCORED,0.0017572991964957766,,
original_hierarchy,C-8823,49,SCORED,0.0014329489240030215,,
original_hierarchy,C-8823,50,SCORED,0.008042255592270845,,
original_hierarchy,C-8823,51,SCORED,0.0019556259832194233,,
original_hierarchy,C-8823,52,SCORED,0.013413416590106642,,
original_hierarchy,C-8823,53,SCORED,0.004599574306317262,,
original_hierarchy,C-8823,54,SCORED,0.00022324480368409935,,
original_hierarchy,C-8823,55,SCORED,0.01543676031573122,,
original_hierarchy,C-8823,56,SCORED,0.01726435493250704,,
original_hierarchy,C-8823,57,SCORED,0.00983992430148889,,
original_hierarchy,C-8823,58,SCORED,0.040823974604322716,,
original_hierarchy,C-8823,59,SCORED,0.002083163761094124,,
original_hierarchy,C-8823,60,SCORED,0.0003425272233654967,,
original_hierarchy,C-8823,61,SCORED,8.053061876557317e-06,,
original_hierarchy,C-8823,62,SCORED,0.005844899457344968,,
original_hierarchy,C-8823,63,SCORED,0.00014991078141021134,,
original_hierarchy,C-8823,64,SCORED,0.00034738648325898305,,
original_hierarchy,C-8823,65,SCORED,1.3940356543345675e-06,,
original_hierarchy,C-8823,66,SCORED,0.0023186413805987745,,
original_hierarchy,C-8823,67,SCORED,0.001556826808395726,,
original_hierarchy,C-8823,68,SCORED,0.0018717618013869529,,
original_hierarchy,C-8823,69,SCORED,0.004287954219995525,,
original_hierarchy,C-8823,70,SCORED,6.098103765742307e-05,,
original_hierarchy,C-8823,71,SCORED,0.0010034171892400866,,
original_hierarchy,C-8823,72,SCORED,1.7167003302234144e-05,,
original_hierarchy,C-8823,73,SCORED,0.022297599123548534,,
original_hierarchy,C-8823,74,SCORED,0.017524234089771273,,
original_hierarchy,C-8823,75,SCORED,0.00013771350655073997,,
original_hierarchy,C-8823,76,SCORED,0.021718039240526822,,
original_hierarchy,C-8823,77,SCORED,0.007860787100226752,,
original_hierarchy,C-8823,78,SCORED,1.0015967399059234e-05,,
original_hierarchy,C-8823,79,SCORED,0.003226213528426232,,
original_hierarchy,C-8823,80,SCORED,1.1592610608315585e-05,,
original_hierarchy,C-8825,0,SCORED,0.0007842783574453444,,
original_hierarchy,C-8825,1,SCORED,0.02285003327084261,,
original_hierarchy,C-8825,2,SCORED,0.017004432912661765,,
original_hierarchy,C-8825,3,SCORED,0.005734319049321687,,
original_hierarchy,C-8825,4,SCORED,0.006216946551525909,,
original_hierarchy,C-8825,5,SCORED,0.019503735416785198,,
original_hierarchy,C-8825,6,SCORED,3.265035060128266e-08,,
original_hierarchy,C-8825,7,SCORED,0.0009360161964496912,,
original_hierarchy,C-8825,8,SCORED,0.005970742769304364,,
original_hierarchy,C-8825,9,SCORED,0.0567720062542707,,
original_hierarchy,C-8825,10,SCORED,0.0686639711482721,,
original_hierarchy,C-8825,11,SCORED,0.00040091002865573315,,
original_hierarchy,C-8825,12,SCORED,0.0062727235693312774,,
original_hierarchy,C-8825,13,SCORED,0.01649671572510157,,
original_hierarchy,C-8825,14,SCORED,7.352086378119467e-05,,
original_hierarchy,C-8825,15,SCORED,0.00018579145276612953,,
original_hierarchy,C-8825,16,SCORED,0.001621543377571092,,
original_hierarchy,C-8825,17,SCORED,0.000811303000211044,,
original_hierarchy,C-8825,18,SCORED,0.09539937644348906,,
